Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 31, 28, 25, 22, 19
Component 12, 40, 31, 27, 24, 21, 19
Component 13, 40, 31, 29, 26, 23, 20
Component 21, 60, 37, 33, 27, 21, 15
Component 22, 60, 37, 33, 28, 22, 16
Component 23, 60, 41, 38, 32, 28, 22
Component 31, 40, 32, 29, 25, 21, 18
Component 32, 40, 34, 32, 28, 24, 21
Component 33, 40, 31, 28, 24, 21, 18
Component 34, 40, 28, 25, 22, 19, 16
Component 35, 40, 35, 33, 30, 27, 25
Component 41, 100, 65, 58, 50, 42, 33
Component 42, 100, 62, 54, 46, 37, 27
Component 43, 100, 67, 59, 52, 44, 36
Component 51, 30, 22, 20, 18, 16, 14
Component 52, 30, 19, 17, 14, 11, 9
Component 53, 30, 24, 22, 19, 17, 15
