Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX1, 11/21/31/41/51, 199, 175, 151, 128, 105, 83
AY1, 12/22/33/42/52, 197, 175, 153, 130, 108, 86
AZ1, 13/23/35/43/53, 200, 176, 152, 129, 106, 84
BY, 42/52/66, 203, 183, 163, 136, 110, 84
BZ, 43/53/66, 204, 184, 164, 137, 111, 85
CY, 42/52/67, 197, 173, 149, 126, 104, 82
CZ, 43/53/67, 198, 174, 150, 127, 105, 83
EY1, 12/22/34/42/52, 199, 176, 153, 130, 108, 86
EZ1, 13/23/36/43/53, 200, 175, 150, 127, 104, 81
S1, 11/21/31, –, 87, 71, 60, 50, 40
S3, 12/22/33, –, 87, 73, 63, 53, 43
S4, 12/22/34, –, 88, 73, 63, 53, 43
S5, 13/23/35, –, 87, 71, 60, 50, 40
S6, 13/23/36, –, 86, 69, 58, 47, 37
