Paper Commponent, Max Raw Mark, A, B, C, D, E
omponent 11, 40, 23, 18, 15, 13, 11
omponent 12, 40, 24, 19, 16, 13, 11
omponent 13, 40, 23, 18, 15, 13, 11
omponent 21, 60, 35, 27, 23, 18, 13
omponent 22, 60, 32, 25, 20, 15, 9
omponent 23, 60, 35, 27, 23, 18, 13
omponent 31, 40, 25, 23, 19, 15, 12
omponent 33, 40, 25, 23, 19, 15, 11
omponent 34, 40, 24, 21, 17, 13, 9
omponent 35, 40, 25, 23, 19, 15, 12
omponent 36, 40, 25, 23, 19, 15, 11
omponent 41, 100, 58, 53, 42, 31, 20
omponent 42, 100, 57, 51, 41, 31, 20
omponent 43, 100, 58, 53, 42, 31, 20
omponent 50, 75, 54, 44, 34, 24, 15
omponent 51, 30, 21, 18, 15, 12, 9
omponent 52, 30, 21, 17, 14, 11, 8
omponent 53, 30, 21, 18, 15, 12, 9
