Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY (AY1), 12/22/33/42/52, 186, 167, 148, 124, 100, 76
AY (AY2), 12/22/33, –, 88, 77, 65, 54, 43
BY (BY1), 42/52/85, 93, 84, 75, 61, 47, 34
BY (BY2), 42/52/88, 93, 84, 75, 61, 47, 34
BY (BYJ), 42/52, 86, 76, 66, 51, 37, 23
CY (CY1), 42/52/95, 181, 162, 143, 120, 97, 75
CY (CY2), 42/52/98, 180, 161, 142, 119, 96, 74
DV (DV1), 12/22/33/42/52, 186, 167, 148, 124, 100, 76
DV (DV2), 42/52/75, 199, 182, 165, 140, 116, 92
DV (DV3), 42/52/85, 93, 84, 75, 61, 47, 34
DV (DV4), 42/52/88, 93, 84, 75, 61, 47, 34
DV (DV5), 42/52/95, 181, 162, 143, 120, 97, 75
DV (DV6), 42/52/98, 180, 161, 142, 119, 96, 74
DV (DV7), 12/22/33, –, 88, 77, 65, 54, 43
DV (DVJ), 42/52, 86, 76, 66, 51, 37, 23
EV, 42/52/75, 199, 182, 165, 140, 116, 92
S3, 12/22/33, –, 88, 77, 65, 54, 43
