Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX1, 11/21/31/41/51, 182, 159, 136, 115, 94, 73
AY1, 12/22/33/42/52, 184, 160, 136, 115, 94, 73
AZ1, 13/23/35/43/53, 182, 159, 136, 115, 94, 73
BX, 41/51/66, 181, 157, 133, 112, 91, 71
BY, 42/52/66, 183, 158, 133, 112, 91, 71
BZ, 43/53/66, 181, 157, 133, 112, 91, 71
CX, 41/51/67, 195, 169, 143, 123, 103, 83
CY, 42/52/67, 197, 170, 143, 123, 103, 83
CZ, 43/53/67, 195, 169, 143, 123, 103, 83
EX1, 11/21/32/41/51, 182, 159, 136, 115, 94, 73
EY1, 12/22/34/42/52, 184, 160, 136, 115, 94, 73
S1, 11/21/31, –, 87, 78, 67, 56, 46
S2, 11/21/32, –, 87, 78, 67, 56, 46
S3, 12/22/33, –, 87, 78, 67, 56, 46
S4, 12/22/34, –, 87, 78, 67, 56, 46
S5, 13/23/35, –, 87, 78, 67, 56, 46
