Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY, 250, 12, 32, 42, 52, 220, 191, 162, 131, 100, 70
CY, 250, 12, 32, 52, 62, 220, 193, 166, 136, 106, 76
DY, 250, 32, 52, 85, 216, 185, 154, 122, 90, 58
DYJ, 125, 32, 52, 109, 93, 71, 52, 33, 14
EY, 250, 32, 42, 88, 216, 185, 154, 120, 86, 53
EYJ, 125, 32, 42, 109, 94, 72, 52, 32, 13
GY, 250, 32, 62, 88, 216, 187, 158, 125, 92, 59
GYJ, 125, 32, 62, 110, 96, 76, 56, 37, 18
HY, 250, 32, 52, 95, 216, 189, 162, 129, 96, 64
HYN, 125, 32, 52, 109, 93, 71, 52, 33, 14
IY, 250, 32, 42, 98, 217, 191, 165, 130, 95, 61
IYN, 125, 32, 42, 109, 94, 72, 52, 32, 13
KY, 250, 32, 62, 98, 217, 193, 169, 135, 101, 67
KYN, 125, 32, 62, 110, 96, 76, 56, 37, 18
OV, 250, 32, 52, 75, 218, 189, 160, 128, 96, 65
OVM, 125, 32, 52, 109, 93, 71, 52, 33, 14
PV, 250, 32, 42, 78, 215, 186, 157, 124, 92, 60
PVM, 125, 32, 42, 109, 94, 72, 52, 32, 13
RV, 250, 32, 62, 78, 215, 188, 161, 129, 97, 66
RVM, 125, 32, 62, 110, 96, 76, 56, 37, 18
S4, 125, 12, 22, –, 98, 86, 70, 55, 40
S5, 125, 12, 42, –, 97, 82, 66, 50, 34
S6, 125, 12, 52, –, 96, 81, 66, 51, 36
